DE;Deutschland;;;;;;;;;;;;
Name;Name(EN);jan;feb;mar;apr;mai;juni;juli;aug;sept;okt;nov;dez
Spargel;;;;2;3;3;3;;;;;;
Blumenkohl;;;;;2;3;3;3;3;3;3;2;
Buschbohnen;;;;;;;3;3;3;3;3;3;
Dicke Bohnen;;;;;;;3;3;2;;;;
Stangenbohnen;;;;;;;2;3;3;3;3;;
Brokkoli;;;;;;2;3;3;3;3;3;2;
Champignons;;3;3;3;3;3;3;3;3;3;3;3;3
Fenchel;;;;;2;2;3;3;3;3;2;2;
Frühlingszwiebeln;;;;;2;3;3;3;3;2;2;;
Kürbis;;;;;;;;;;2;3;3;
Lauch ;;3;2;2;3;2;2;3;3;3;3;3;3
Pok Choi;;;;;;2;3;3;3;3;2;;
Paprika;;;;2;3;3;3;3;3;3;3;2;
Pastinake;;3;3;2;;;;;;;2;3;3
Rhabarber;;;;3;3;3;3;3;2;;;;
Rosenkohl;;3;3;2;;;;;;2;3;3;3
Rote Bete;;3;3;3;2;2;2;2;2;3;3;3;3
Salatgurke;;;;2;2;3;3;3;3;3;2;2;
Schwarzer Rettich;;3;3;2;2;;;;;;2;3;3
Schwarzwurzeln;;3;3;2;2;;;;;;3;3;3
Spinat;;2;2;3;3;3;2;2;2;3;3;3;2
Spitzkohl;;;;;2;3;3;2;2;3;3;2;2
Steckrüben;;3;3;2;;;;;;;2;3;3
Zucchini;;;;2;2;2;3;3;3;3;2;2;2
Zuckermais;;;;;;;;3;3;3;3;2;2
Zwiebeln;;2;2;2;2;;;3;3;3;3;2;2
Wirsing;;3;3;2;2;2;3;3;2;3;3;3;3
Weisskohl;;3;3;3;2;2;3;3;3;3;3;3;3
Tomaten;;;;2;2;3;3;3;3;3;2;2;
Knollensellerie;;3;3;2;2;2;2;2;2;3;3;3;3
Stangensellerie;;;;;;3;3;3;3;3;2;2;
Salat;;;;2;2;3;3;3;3;3;3;2;
Rucola;;;;;;3;3;3;3;3;3;;
Rotkohl;;2;3;3;2;2;3;3;3;3;3;3;3
Rettich;;;;;3;3;3;3;3;3;2;2;
Radieschen;;;;;3;3;3;3;3;3;2;2;
Petersilienwurzeln;;3;3;2;;;;;;;2;2;3
Chicoree;;3;3;2;2;2;2;2;2;3;3;3;3
Chinakohl;;3;3;2;2;3;3;3;3;3;3;3;3
Erbsen;;;;;;;2;3;3;2;;;
Grünkohl;;3;2;2;;;;;;2;3;3;3
Kartoffeln;;3;3;3;3;3;3;3;3;3;3;3;3
Kohlrabi;;;;2;2;3;3;3;3;3;3;2;
Mairüben;;;;;;2;3;3;3;3;3;;
Mangold;;;;;;;2;3;3;3;2;;
Möhren;;2;2;2;2;2;2;3;3;3;3;3;3
Äpfel;;3;3;3;3;2;2;2;2;3;3;3;3
Aprikosen;;;;;;;2;3;3;;;;
Birnen;;2;2;2;;;;;3;3;3;3;2
Himbeeren;;;;;;;3;3;3;3;2;;
Aubergine;;;;;;3;2;2;3;3;2;;
Brombeeren;;;;;;;;3;3;3;2;;
Erdbeeren;;;;;;2;3;3;3;2;;;
Heidelbeeren;;;;;;2;3;3;3;3;2;;
Johannisbeeren;;;;;;;3;3;3;2;;;
Mirabellen;;;;;;;;2;3;3;;;
Pflaumen;;;;;;;;3;3;3;2;;
Zwetschgen;;;;;;;;3;3;3;2;;
Stachelbeeren;;;;;;;3;3;2;;;;
Kirschen;;;;;;;3;3;2;;;;
Fichtennadeln;;;;;;;;;;;;;
Holunderblüten;;;;;;;;;;;;;
Löwenzahn;;;;;;;;;;;;;
Mais;;;;;;;;;;;;;
Meerrettich;;;;;;;;;;;;;
Gerste;;;;;;;;;;;;;
Weizen;;;;;;;;;;;;;
Topinambur;;;;;;;;;;;;;
Gurken;;;;;;;;;;;;;
Kirschblblätter;;;;;;;;;;;;;
Melonen;;;;;;;;;;;;;
